uid,iid,score,time
0,0,2,19
0,8,4,273
0,13,1,587
0,18,3,15
0,34,3,17
0,38,4,37
0,44,5,245
0,59,2,308
0,115,5,177
0,124,1,37
0,164,3,43
0,170,3,177
0,196,3,598
0,301,3,308
0,313,4,417
0,314,2,273
0,322,4,417
0,353,4,37
0,355,1,89
0,356,2,177
0,410,3,177
0,434,3,598
0,442,4,245
0,451,2,48
0,488,4,54
0,501,4,723
0,555,2,561
0,568,4,177
0,588,3,37
0,620,1,17
0,633,1,245
0,662,2,37
0,664,5,37
0,689,3,308
0,720,2,308
0,735,4,37
0,770,3,417
0,771,4,308
0,781,4,1090
0,795,2,89
0,856,3,48
0,870,2,273
0,886,3,245
0,963,1,245
0,983,5,37
0,1011,4,15
0,1080,2,37
0,1083,2,37
0,1099,3,37
0,1140,1,308
0,1157,4,37
0,1167,3,43
0,1171,3,89
0,1173,3,561
0,1178,1,37
0,1199,4,37
0,1206,4,308
0,1208,3,467
0,1212,4,561
0,1234,3,273
0,1236,3,308
0,1267,1,17
0,1271,4,89
0,1275,4,467
0,1286,3,308
0,1293,4,245
0,1327,3,37
0,1331,3,177
0,1336,2,245
0,1340,4,43
0,1346,1,245
0,1353,2,37
0,1386,3,273
0,1399,2,37
0,1415,2,561
0,1423,3,467
0,1454,3,177
0,1458,2,1267
0,1462,3,245
0,1470,2,48
0,1498,4,37
0,1543,4,37
0,1551,3,835
0,1586,4,245
0,1603,4,43
0,1618,2,273
0,1623,3,89
0,1629,4,835
0,1674,3,17
0,1697,5,89
0,1743,4,43
0,1767,2,835
0,1782,1,43
0,1801,3,585
0,1806,4,37
0,1816,3,37
0,1823,2,44
0,1824,5,273
0,1829,4,587
0,1874,3,48
0,1875,3,43
0,1889,3,627
0,1902,4,37
0,1903,3,245
0,2037,2,723
0,2042,4,37
0,2065,4,37
0,2066,2,245
0,2089,2,89
0,2144,3,1275
0,2153,2,37
0,2179,3,308
0,2203,2,417
0,2208,4,17
0,2217,4,245
0,2272,4,43
0,2289,4,467
0,2310,2,37
0,2333,4,37
0,2346,3,627
0,2353,5,89
0,2369,3,89
0,2406,4,37
0,2414,3,177
0,2420,2,1090
0,2425,5,89
0,2450,1,37
0,2523,3,89
0,2532,4,467
0,2538,2,37
0,2552,2,48
0,2553,3,561
0,2571,5,245
0,2587,3,1167
0,2588,1,89
0,2594,1,467
0,2637,1,245
0,2654,4,177
0,2665,4,552
0,2666,2,552
0,2692,4,273
0,2693,2,23
0,2725,3,177
0,2758,5,89
0,2782,3,37
0,2801,3,37
0,2811,5,273
0,2846,1,1090
0,2848,4,43
0,2856,4,89
0,2883,4,177
0,2947,4,417
0,2955,5,273
0,2961,3,177
0,2965,3,273
0,3008,4,273
0,3014,2,245
0,3025,2,37
0,3027,5,89
0,3033,5,37
0,3048,4,587
0,3053,3,37
0,3055,2,273
0,3078,1,245
0,3083,4,245
0,3091,1,37
0,3092,2,177
0,3100,3,17
0,3117,2,273
0,3175,2,273
0,3177,2,273
0,3193,2,177
0,3242,1,43
0,3243,2,48
0,3245,2,37
0,3310,2,48
0,3313,3,467
0,3314,5,89
0,3321,2,561
0,3322,5,245
0,3326,2,245
0,3343,4,467
0,3360,3,245
0,3386,5,89
0,3427,2,1267
0,3428,2,43
0,3447,4,37
0,3458,2,177
0,3478,1,89
0,3500,4,273
0,3507,1,273
0,3516,3,17
0,3522,3,552
0,3525,2,245
0,3526,2,1267
0,3544,2,37
0,3564,2,467
0,3581,4,563
0,3619,4,245
0,3643,1,48
0,3647,2,245
0,3658,2,177
0,3663,4,245
0,3671,1,177
0,3700,2,89
0,3757,2,647
0,3970,3,308
0,3994,3,467
0,4097,3,552
0,4275,3,417
0,4320,4,574
0,4373,1,245
0,4409,4,633
0,4417,2,245
0,4435,2,666
0,4564,1,561
0,4627,4,467
0,4729,4,561
0,4766,4,1090
0,4773,4,1090
0,4820,2,1090
0,4865,2,308
0,4904,4,580
0,4963,4,1110
0,4964,3,245
0,4968,4,627
0,5235,2,483
0,5429,2,587
0,5596,2,561
0,5649,3,1135
0,5689,2,1267
0,5755,2,417
0,5947,1,1267
0,6323,1,786
0,6439,3,561
0,6476,3,1039
0,6491,1,561
0,6516,3,1320
0,6527,2,934
0,6554,3,1248
0,6580,3,1320
0,6586,2,1319
0,6612,3,1022
0,6638,4,1320
0,6659,4,1319
0,6707,4,467
0,6778,3,561
0,6800,3,561
0,6809,4,552
0,6813,4,1320
0,6883,1,417
0,6927,1,587
0,7029,2,647
0,7033,1,561
0,7201,3,835
0,7411,2,769
0,7489,2,775
0,7535,2,835
0,7631,4,647
0,7674,4,1039
0,7709,2,741
0,8270,2,1318
0,8284,1,1267
0,8347,1,1087
0,8601,3,1237
0,8602,2,1324
0,9132,2,1135
0,9180,3,1082
0,9840,2,1275
0,9965,2,1082
0,10018,3,1105
0,10468,4,1247
0,10812,3,1135
0,11174,3,1325
0,11271,3,1267
0,11294,2,1324
0,11314,5,1267
0,11677,1,1237
0,11748,4,1082
0,12936,3,1267
1,1,4,23
1,150,4,23
1,244,2,23
1,277,2,23
1,339,4,23
1,368,4,23
1,389,2,23
1,477,4,23
1,668,2,23
1,676,1,23
1,735,3,23
1,849,2,107
1,886,4,769
1,950,2,23
1,1009,2,23
1,1078,1,237
1,1140,3,23
1,1174,1,23
1,1323,4,23
1,1340,3,107
1,1353,2,23
1,1370,3,23
1,1379,4,23
1,1396,5,107
1,1452,5,107
1,1453,4,23
1,1464,3,23
1,1498,4,23
1,1538,4,23
1,1543,1,107
1,1545,4,1123
1,1596,4,23
1,1598,4,107
1,1674,1,23
1,1782,3,23
1,1825,1,1090
1,1841,5,107
1,1986,2,23
1,2074,5,107
1,2300,3,23
1,2391,5,107
1,2414,3,23
1,2434,3,23
1,2450,3,23
1,2538,1,1090
1,2588,4,107
1,2619,3,107
1,2755,2,23
1,2782,5,107
1,2829,2,23
1,2840,1,1248
1,2873,2,107
1,2886,4,23
1,2991,3,1123
1,3025,2,23
1,3029,3,107
1,3060,4,23
1,3072,3,23
1,3095,5,107
1,3100,5,107
1,3109,1,23
1,3379,4,23
1,3380,3,23
1,3516,4,23
1,3621,3,23
1,3647,3,23
1,3681,3,23
1,5527,2,1107
1,5991,1,1168
1,6704,4,1209
1,6998,2,1107
1,7319,1,1090
1,7503,5,1110
1,7509,1,884
1,7888,2,1107
1,8256,2,884
1,8317,1,1107
1,8499,4,1123
1,8601,1,875
1,8826,5,1110
1,8943,1,1090
1,9150,5,1110
1,9398,5,1110
1,9571,1,1090
1,9621,1,1090
1,9767,4,1123
1,9920,2,1107
1,10247,3,1123
1,10351,4,1123
1,10463,5,1110
1,10468,5,1247
1,10704,3,1123
1,10878,4,1123
1,10933,2,1168
1,10983,1,1212
1,11230,5,1082
1,11656,1,1107
1,11801,5,1110
1,12118,1,1248
1,12197,4,1274
1,12392,5,1110
1,13356,5,1333
2,2,4,26
2,60,3,687
2,112,4,703
2,124,3,107
2,267,3,959
2,283,2,485
2,301,3,476
2,396,3,26
2,410,3,959
2,425,3,514
2,436,3,1000
2,485,3,768
2,517,3,26
2,555,4,1010
2,568,4,476
2,683,3,249
2,764,3,575
2,849,4,518
2,875,5,1175
2,877,4,26
2,949,5,23
2,995,4,26
2,1022,2,26
2,1041,3,959
2,1073,5,249
2,1127,4,23
2,1164,4,1175
2,1178,3,959
2,1199,5,107
2,1276,4,249
2,1293,5,107
2,1307,3,669
2,1316,5,107
2,1342,5,128
2,1368,3,128
2,1381,2,1175
2,1532,5,1175
2,1543,4,485
2,1586,4,249
2,1598,3,107
2,1623,5,107
2,1629,2,249
2,1688,5,959
2,1690,3,26
2,1729,4,23
2,1753,3,582
2,1796,4,1175
2,1817,3,485
2,1868,4,1175
2,1934,4,959
2,1939,5,1175
2,2036,3,107
2,2042,4,485
2,2072,5,128
2,2139,3,26
2,2155,4,1175
2,2190,4,107
2,2349,5,26
2,2377,4,23
2,2398,4,26
2,2445,4,777
